Unaddressed Mail Booking Confirmation Advice,,,,,,,,
Salmat (NSW) - Telstra Business Booking Number: U0496120,,,,,,,,
Issued: 16/12/2015 12:00 AM,,,,,,,,
Delivery Office,Delivery Office PCode,Delivery Area/Locality,Type,Street,Roadside,Boxes,Counter,TOTAL
MAITLAND NORTH LPO,2320,MAITLAND NORTH - 2320,Intrastate Regular,,,17,,17
MAITLAND POST SHOP,2320,MAITLAND - 2320,Intrastate Regular,,,89,,89
METFORD DC,2323,BOLWARRA - 2320,Intrastate Regular,4,,,,4
METFORD DC,2323,BOLWARRA HEIGHTS - 2320,Intrastate Regular,1,1,,,2
METFORD DC,2323,HORSESHOE BEND - 2320,Intrastate Regular,1,,,,1
METFORD DC,2323,LARGS - 2320,Intrastate Regular,5,,,,5
METFORD DC,2323,LORN - 2320,Intrastate Regular,26,,,,26
METFORD DC,2323,LOUTH PARK - 2320,Intrastate Regular,,11,,,11
METFORD DC,2323,MAITLAND - 2320,Intrastate Regular,396,,,,396
METFORD DC,2323,POKOLBIN - 2320,Intrastate Regular,,14,,,14
METFORD DC,2323,RUTHERFORD - 2320,Intrastate Regular,87,196,,,283
METFORD DC,2323,SOUTH MAITLAND - 2320,Intrastate Regular,4,,,,4
METFORD DC,2323,TELARAH - 2320,Intrastate Regular,31,,,,31
RUTHERFORD LPO,2320,RUTHERFORD - 2320,Intrastate Regular,,,84,,84
TELARAH LPO,2320,TELARAH - 2320,Intrastate Regular,,,11,,11
"Please note, while every care is taken to ensure the accuracy of the data within this product, the owners of the data (including the State, Territory and Commonwealth Governments of Australia) do not make any representations or warranties about its accuracy, reliability, completeness or suitability for any particular purpose and, to the extent permitted by law, the owners of the data disclaim all responsibility and all liability (including without limitation, liability in negligence) for all expenses, losses, damages (including indirect or consequential damages) and costs which might be incurred as a result of the data being inaccurate or incomplete in any way and for any reason. Delivery point numbers may change without notice. The Material must not be used for any purpose other than those identified in the Terms and Conditions or given to other persons."
