Unaddressed Mail Booking Confirmation Advice,,,,,,,,
Salmat (NSW) - Telstra Business Booking Number: U0496122,,,,,,,,
Issued: 16/12/2015 12:00 AM,,,,,,,,
Delivery Office,Delivery Office PCode,Delivery Area/Locality,Type,Street,Roadside,Boxes,Counter,TOTAL
BOOLAROO LPO,2284,BOOLAROO - 2284,Intrastate Regular,,,40,,40
CARDIFF POST SHOP,2285,CARDIFF - 2285,Intrastate Regular,,,79,,79
EDGEWORTH DC,2285,BARNSLEY - 2278,Intrastate Regular,16,,,,16
EDGEWORTH DC,2285,BOOLAROO - 2284,Intrastate Regular,64,,,,64
EDGEWORTH DC,2285,BOORAGUL - 2284,Intrastate Regular,3,,,,3
EDGEWORTH DC,2285,CAMERON PARK - 2285,Intrastate Regular,35,,,,35
EDGEWORTH DC,2285,CARDIFF - 2285,Intrastate Regular,386,,,,386
EDGEWORTH DC,2285,CARDIFF HEIGHTS - 2285,Intrastate Regular,1,,,,1
EDGEWORTH DC,2285,CARDIFF SOUTH - 2285,Intrastate Regular,13,,,,13
EDGEWORTH DC,2285,EDGEWORTH - 2285,Intrastate Regular,32,,,,32
EDGEWORTH DC,2285,GLENDALE - 2285,Intrastate Regular,107,,,,107
EDGEWORTH DC,2285,HOLMESVILLE - 2286,Intrastate Regular,7,,,,7
EDGEWORTH DC,2285,MACQUARIE HILLS - 2285,Intrastate Regular,1,,,,1
EDGEWORTH DC,2285,SPEERS POINT - 2284,Intrastate Regular,11,,,,11
EDGEWORTH DC,2285,TERALBA - 2284,Intrastate Regular,19,,,,19
EDGEWORTH DC,2285,WEST WALLSEND - 2286,Intrastate Regular,23,,,,23
EDGEWORTH DC,2285,WOODRISING - 2284,Intrastate Regular,7,,,,7
EDGEWORTH LPO,2285,EDGEWORTH - 2285,Intrastate Regular,,,45,,45
GLENDALE POST SHOP,2285,GLENDALE - 2285,Intrastate Regular,,,15,,15
WEST WALLSEND LPO,2286,WEST WALLSEND - 2286,Intrastate Regular,,,21,,21
WOODRISING LPO,2284,WOODRISING - 2284,Intrastate Regular,,,1,,1
"Please note, while every care is taken to ensure the accuracy of the data within this product, the owners of the data (including the State, Territory and Commonwealth Governments of Australia) do not make any representations or warranties about its accuracy, reliability, completeness or suitability for any particular purpose and, to the extent permitted by law, the owners of the data disclaim all responsibility and all liability (including without limitation, liability in negligence) for all expenses, losses, damages (including indirect or consequential damages) and costs which might be incurred as a result of the data being inaccurate or incomplete in any way and for any reason. Delivery point numbers may change without notice. The Material must not be used for any purpose other than those identified in the Terms and Conditions or given to other persons."
