Unaddressed Mail Booking Confirmation Advice,,,,,,,,
Salmat (NSW) - Telstra Business Booking Number: U0496139,,,,,,,,
Issued: 16/12/2015 12:00 AM,,,,,,,,
Delivery Office,Delivery Office PCode,Delivery Area/Locality,Type,Street,Roadside,Boxes,Counter,TOTAL
BATHURST DC,2795,ABERCROMBIE - 2795,Intrastate Regular,,1,,,1
BATHURST DC,2795,BATHURST - 2795,Intrastate Regular,471,,17,,488
BATHURST DC,2795,BURRAGA - 2795,Intrastate Regular,,2,,,2
BATHURST DC,2795,EGLINTON - 2795,Intrastate Regular,2,,,,2
BATHURST DC,2795,GEORGES PLAINS - 2795,Intrastate Regular,,1,,,1
BATHURST DC,2795,GLANMIRE - 2795,Intrastate Regular,,3,,,3
BATHURST DC,2795,GORMANS HILL - 2795,Intrastate Regular,8,,,,8
BATHURST DC,2795,KELSO - 2795,Intrastate Regular,44,19,,,63
BATHURST DC,2795,MEADOW FLAT - 2795,Intrastate Regular,,1,,,1
BATHURST DC,2795,MITCHELL - 2795,Intrastate Regular,4,3,,,7
BATHURST DC,2795,MOUNT PANORAMA - 2795,Intrastate Regular,,1,,,1
BATHURST DC,2795,NAPOLEON REEF - 2795,Intrastate Regular,,2,,,2
BATHURST DC,2795,O'CONNELL - 2795,Intrastate Regular,,1,,,1
BATHURST DC,2795,RAGLAN - 2795,Intrastate Regular,11,,,,11
BATHURST DC,2795,ROBIN HILL - 2795,Intrastate Regular,,54,,,54
BATHURST DC,2795,ROCKLEY - 2795,Intrastate Regular,,3,,,3
BATHURST DC,2795,SOUTH BATHURST - 2795,Intrastate Regular,22,,,,22
BATHURST DC,2795,THE LAGOON - 2795,Intrastate Regular,,1,,,1
BATHURST DC,2795,WEST BATHURST - 2795,Intrastate Regular,5,,,,5
BATHURST DC,2795,WHITE ROCK - 2795,Intrastate Regular,,1,,,1
BATHURST DC,2795,WINDRADYNE - 2795,Intrastate Regular,8,,,,8
BATHURST DC,2795,YETHOLME - 2795,Intrastate Regular,,3,,,3
BATHURST POST SHOP,2795,BATHURST - 2795,Intrastate Regular,,,232,,232
BATHURST WEST LPO,2795,BATHURST WEST - 2795,Intrastate Regular,,,52,,52
CHARLES STURT UNI BATHURST LPO,2795,CHARLES STURT UNIVERSITY - 2795,Intrastate Regular,,,5,,5
WATTLE FLAT CPA,2795,WATTLE FLAT - 2795,Intrastate Regular,,,,2,2
"Please note, while every care is taken to ensure the accuracy of the data within this product, the owners of the data (including the State, Territory and Commonwealth Governments of Australia) do not make any representations or warranties about its accuracy, reliability, completeness or suitability for any particular purpose and, to the extent permitted by law, the owners of the data disclaim all responsibility and all liability (including without limitation, liability in negligence) for all expenses, losses, damages (including indirect or consequential damages) and costs which might be incurred as a result of the data being inaccurate or incomplete in any way and for any reason. Delivery point numbers may change without notice. The Material must not be used for any purpose other than those identified in the Terms and Conditions or given to other persons."
