Unaddressed Mail Booking Confirmation Advice,,,,,,,,
Salmat (NSW) - Telstra Business Booking Number: U0496200,,,,,,,,
Issued: 16/12/2015 12:00 AM,,,,,,,,
Delivery Office,Delivery Office PCode,Delivery Area/Locality,Type,Street,Roadside,Boxes,Counter,TOTAL
BERESFIELD LPO,2322,BERESFIELD - 2322,Intrastate Regular,,,68,,68
EAST MAITLAND LPO,2323,EAST MAITLAND - 2323,Intrastate Regular,,,126,,126
FREEMANS WATERHOLE CPA,2323,FREEMANS WATERHOLE - 2323,Intrastate Regular,,,,3,3
GREEN HILLS LPO,2323,GREEN HILLS - 2323,Intrastate Regular,,,68,,68
METFORD DC,2323,ASHTONFIELD - 2323,Intrastate Regular,15,,,,15
METFORD DC,2323,BERESFIELD - 2322,Intrastate Regular,44,190,,,234
METFORD DC,2323,BLACK HILL - 2322,Intrastate Regular,,3,,,3
METFORD DC,2323,EAST MAITLAND - 2323,Intrastate Regular,203,,,,203
METFORD DC,2323,HEXHAM - 2322,Intrastate Regular,,34,,,34
METFORD DC,2323,METFORD - 2323,Intrastate Regular,26,,,,26
METFORD DC,2323,TARRO - 2322,Intrastate Regular,8,,,,8
METFORD DC,2323,TENAMBIT - 2323,Intrastate Regular,16,,,,16
METFORD DC,2323,THORNTON - 2322,Intrastate Regular,38,122,,,160
METFORD DC,2323,TOMAGO - 2322,Intrastate Regular,,109,,,109
METFORD DC,2323,WOODBERRY - 2322,Intrastate Regular,7,,,,7
THORNTON LPO,2322,THORNTON - 2322,Intrastate Regular,,,63,,63
"Please note, while every care is taken to ensure the accuracy of the data within this product, the owners of the data (including the State, Territory and Commonwealth Governments of Australia) do not make any representations or warranties about its accuracy, reliability, completeness or suitability for any particular purpose and, to the extent permitted by law, the owners of the data disclaim all responsibility and all liability (including without limitation, liability in negligence) for all expenses, losses, damages (including indirect or consequential damages) and costs which might be incurred as a result of the data being inaccurate or incomplete in any way and for any reason. Delivery point numbers may change without notice. The Material must not be used for any purpose other than those identified in the Terms and Conditions or given to other persons."
