Unaddressed Mail Booking Confirmation Advice,,,,,,,,
Salmat (NSW) - Telstra Business Booking Number: U0496202,,,,,,,,
Issued: 16/12/2015 12:00 AM,,,,,,,,
Delivery Office,Delivery Office PCode,Delivery Area/Locality,Type,Street,Roadside,Boxes,Counter,TOTAL
CLUNES LPO,2480,CLUNES - 2480,Intrastate Regular,,,16,,16
DUNOON LPO,2480,DUNOON - 2480,Intrastate Regular,,,3,,3
FEDERAL-CPA,2480,FEDERAL - 2480,Intrastate Regular,,,1,10,11
GOONELLABAH LPO,2480,GOONELLABAH - 2480,Intrastate Regular,,,28,,28
LISMORE DC,2480,BOOERIE CREEK - 2480,Intrastate Regular,,1,,,1
LISMORE DC,2480,CORNDALE - 2480,Intrastate Regular,,3,,,3
LISMORE DC,2480,DORROUGHBY - 2480,Intrastate Regular,,1,,,1
LISMORE DC,2480,DUNOON - 2480,Intrastate Regular,,3,,,3
LISMORE DC,2480,EAST LISMORE - 2480,Intrastate Regular,41,,,,41
LISMORE DC,2480,GIRARDS HILL - 2480,Intrastate Regular,19,,,,19
LISMORE DC,2480,GOONELLABAH - 2480,Intrastate Regular,89,,,,89
LISMORE DC,2480,JIGGI - 2480,Intrastate Regular,,1,,,1
LISMORE DC,2480,LILLIAN ROCK - 2480,Intrastate Regular,,6,,,6
LISMORE DC,2480,LISMORE - 2480,Intrastate Regular,531,,2,,533
LISMORE DC,2480,LISMORE HEIGHTS - 2480,Intrastate Regular,3,,,,3
LISMORE DC,2480,MODANVILLE - 2480,Intrastate Regular,,1,,,1
LISMORE DC,2480,NORTH LISMORE - 2480,Intrastate Regular,23,1,,,24
LISMORE DC,2480,RICHMOND HILL - 2480,Intrastate Regular,3,,,,3
LISMORE DC,2480,ROSEBANK - 2480,Intrastate Regular,,1,,,1
LISMORE DC,2480,SOUTH LISMORE - 2480,Intrastate Regular,211,,,,211
LISMORE DC,2480,WHIAN WHIAN - 2480,Intrastate Regular,,1,,,1
LISMORE DC,2480,WYRALLAH - 2480,Intrastate Regular,,1,,,1
LISMORE EAST LPO,2480,EAST LISMORE - 2480,Intrastate Regular,,,34,,34
LISMORE HEIGHTS LPO,2480,LISMORE HEIGHTS - 2480,Intrastate Regular,,,16,,16
LISMORE POST SHOP,2480,LISMORE - 2480,Intrastate Regular,,,148,,148
LISMORE SOUTH LPO,2480,SOUTH LISMORE - 2480,Intrastate Regular,,,125,,125
NIMBIN LPO,2480,NIMBIN - 2480,Intrastate Regular,45,,19,,64
ROCK VALLEY CPA,2480,ROCK VALLEY - 2480,Intrastate Regular,,,2,,2
THE CHANNON LPO,2480,THE CHANNON - 2480,Intrastate Regular,,,3,,3
"Please note, while every care is taken to ensure the accuracy of the data within this product, the owners of the data (including the State, Territory and Commonwealth Governments of Australia) do not make any representations or warranties about its accuracy, reliability, completeness or suitability for any particular purpose and, to the extent permitted by law, the owners of the data disclaim all responsibility and all liability (including without limitation, liability in negligence) for all expenses, losses, damages (including indirect or consequential damages) and costs which might be incurred as a result of the data being inaccurate or incomplete in any way and for any reason. Delivery point numbers may change without notice. The Material must not be used for any purpose other than those identified in the Terms and Conditions or given to other persons."
