THE PDF VERSION OF THIS DOCUMENT MUST BE PRESENTED WITH YOUR MAIL,,,,,,,,,
FOR ALL ENQUIRIES PHONE THE BOOKING OFFICE,,,,,,,,,
,,,,,,,,,
Unaddressed Mail  Preparation Advice,,,,,,,,,
16/12/2015 11:37 AMCustomer Booking Number:U0496202,,,,,,,,,
,,,,,,,,,
Post Code,Delivery Office,Qty,Full Qty Bundles,Qty in Part Bundle,No. Trays,ULD ID,PSI,State,Destination Facility
2480,ROCK VALLEY CPA,2,0,2,1,,294,NSW,ROCK VALLEY CPA
2480,LISMORE HEIGHTS LPO,16,0,16,1,,294,NSW,LISMORE HEIGHTS LPO
2480,LISMORE DC,942,9,42,5,,294,NSW,LISMORE DC
2480,LISMORE POST SHOP,148,1,48,1,,294,NSW,LISMORE POST SHOP
2480,LISMORE EAST LPO,34,0,34,1,,294,NSW,LISMORE EAST LPO
2480,FEDERAL-CPA,11,0,11,1,,294,NSW,FEDERAL-CPA
2480,THE CHANNON LPO,3,0,3,1,,294,NSW,THE CHANNON LPO
2480,NIMBIN LPO,64,0,64,1,,294,NSW,NIMBIN LPO
2480,LISMORE SOUTH LPO,125,1,25,1,,294,NSW,LISMORE SOUTH LPO
2480,DUNOON LPO,3,0,3,1,,294,NSW,DUNOON LPO
2480,CLUNES LPO,16,0,16,1,,294,NSW,CLUNES LPO
2480,GOONELLABAH LPO,28,0,28,1,,294,NSW,GOONELLABAH LPO
