Unaddressed Mail Booking Confirmation Advice,,,,,,,,
Salmat (NSW) - Telstra Business Booking Number: U0496221,,,,,,,,
Issued: 16/12/2015 12:00 AM,,,,,,,,
Delivery Office,Delivery Office PCode,Delivery Area/Locality,Type,Street,Roadside,Boxes,Counter,TOTAL
BANORA POINT LPO,2486,BANORA POINT - 2486,Intrastate Regular,,,56,,56
BILAMBIL LPO,2486,BILAMBIL - 2486,Intrastate Regular,,,6,,6
KINGSCLIFF LPO,2487,KINGSCLIFF - 2487,Intrastate Regular,,,184,,184
TERRANORA CPA,2486,TERRANORA - 2486,Intrastate Regular,,,8,,8
TWEED HEADS POST SHOP,2485,TWEED HEADS - 2485,Intrastate Regular,,,75,,75
TWEED HEADS SOUTH DC,2486,BANORA POINT - 2486,Intrastate Regular,23,,,,23
TWEED HEADS SOUTH DC,2486,BILAMBIL HEIGHTS - 2486,Intrastate Regular,4,,,,4
TWEED HEADS SOUTH DC,2486,CHINDERAH - 2487,Intrastate Regular,4,,,,4
TWEED HEADS SOUTH DC,2486,COBAKI - 2486,Intrastate Regular,,1,,,1
TWEED HEADS SOUTH DC,2486,COBAKI LAKES - 2486,Intrastate Regular,,2,,,2
TWEED HEADS SOUTH DC,2486,CUDGEN - 2487,Intrastate Regular,1,18,,,19
TWEED HEADS SOUTH DC,2486,DURANBAH - 2487,Intrastate Regular,,8,,,8
TWEED HEADS SOUTH DC,2486,FINGAL HEAD - 2487,Intrastate Regular,3,,,,3
TWEED HEADS SOUTH DC,2486,KINGSCLIFF - 2487,Intrastate Regular,95,1,,,96
TWEED HEADS SOUTH DC,2486,PIGGABEEN - 2486,Intrastate Regular,,10,,,10
TWEED HEADS SOUTH DC,2486,STOTTS CREEK - 2487,Intrastate Regular,,2,,,2
TWEED HEADS SOUTH DC,2486,TERRANORA - 2486,Intrastate Regular,19,,,,19
TWEED HEADS SOUTH DC,2486,TWEED HEADS - 2485,Intrastate Regular,296,,,,296
TWEED HEADS SOUTH DC,2486,TWEED HEADS SOUTH - 2486,Intrastate Regular,487,,,,487
TWEED HEADS SOUTH DC,2486,TWEED HEADS WEST - 2485,Intrastate Regular,3,,,,3
TWEED HEADS SOUTH POST SHOP,2486,TWEED HEADS SOUTH - 2486,Intrastate Regular,,,134,,134
"Please note, while every care is taken to ensure the accuracy of the data within this product, the owners of the data (including the State, Territory and Commonwealth Governments of Australia) do not make any representations or warranties about its accuracy, reliability, completeness or suitability for any particular purpose and, to the extent permitted by law, the owners of the data disclaim all responsibility and all liability (including without limitation, liability in negligence) for all expenses, losses, damages (including indirect or consequential damages) and costs which might be incurred as a result of the data being inaccurate or incomplete in any way and for any reason. Delivery point numbers may change without notice. The Material must not be used for any purpose other than those identified in the Terms and Conditions or given to other persons."
